abbrevName,playerFullName,player,pos,newestTeamName,newestTeamAbbrevName,batsHand,AB_R,AVG_R,OBP_R,SLG_R,wOBA_R,wRC_R,SB,AB_L,AVG_L,OBP_L,SLG_L,wOBA_L,wRC_L,height,weight
G. Grahovac,Gavin Grahovac,Grahovac,3B,Texas A&M University,TXAM,R,92,0.37,0.473,0.674,0.485,30.753,0,22,0.273,0.36,0.818,0.479,6.849,74,220
H. Schott,Hayden Schott,Schott,LF,Texas A&M University,TXAM,L,81,0.321,0.37,0.469,0.36,14.497,0,30,0.233,0.343,0.233,0.279,2.722,74,220
J. Laviolette,Jace Laviolette,Laviolette,LF,Texas A&M University,TXAM,L,79,0.304,0.471,0.772,0.506,31.304,2,22,0.364,0.5,1.045,0.606,11.167,78,230
B. Montgomery,Braden Montgomery,Montgomery,RF,Texas A&M University,TXAM,S,79,0.38,0.49,0.975,0.585,36.296,4,25,0.36,0.543,0.72,0.526,11.197,74,220
A. Camarillo,Ali Camarillo,Camarillo,SS,Texas A&M University,TXAM,R,76,0.342,0.457,0.447,0.405,18.912,5,23,0.174,0.208,0.304,0.222,0.546,73,180
T. Burton,Ted Burton,Burton,DH,Texas A&M University,TXAM,R,76,0.382,0.515,0.605,0.482,26.864,8,11,0.091,0.5,0.091,0.357,3.406,75,200
J. Appel,Jackson Appel,Appel,C,Texas A&M University,TXAM,S,64,0.281,0.427,0.453,0.39,15.333,3,12,0.5,0.647,1,0.654,7.572,72,200
K. Kent,Kaeden Kent,Kent,SS,Texas A&M University,TXAM,L,43,0.209,0.37,0.279,0.311,5.894,0,13,0.385,0.429,0.385,0.366,2.456,74,200
H. Bard,Hank Bard,Bard,C,Texas A&M University,TXAM,L,30,0.233,0.324,0.367,0.309,3.65,0,6,0.167,0.375,0.167,0.285,0.673,74,205
B. Binderup,Blake Binderup,Binderup,1B,Texas A&M University,TXAM,R,26,0.269,0.367,0.462,0.361,4.753,0,5,0,0.333,0,0.232,0.293,78,230
R. Targac,Ryan Targac,Targac,2B,Texas A&M University,TXAM,S,33,0.212,0.325,0.394,0.316,4.561,1,9,0.111,0.2,0.111,0.158,-0.4,73,220
C. Sorrell,Caden Sorrell,Sorrell,LF,Texas A&M University,TXAM,L,31,0.194,0.265,0.419,0.296,3.216,1,11,0.455,0.5,1.182,0.669,5.519,75,205
M. Kaufer,Max Kaufer,Kaufer,C,Texas A&M University,TXAM,R,13,0.154,0.421,0.231,0.334,2.515,0,2,0.5,0.8,2,0.836,3.119,72,210
T. Chestnut,Travis Chestnut,Chestnut,2B,Texas A&M University,TXAM,R,9,0.444,0.615,0.778,0.572,5.107,4,0,0,1,0,0.697,1.464,67,155
J. Johnston,Jett Johnston,Johnston,LF,Texas A&M University,TXAM,S,9,0.222,0.364,0.222,0.288,0.956,0,5,0.2,0.429,0.4,0.378,1.226,73,210
J. Bell,Jack Bell,Bell,3B,Texas A&M University,TXAM,L,8,0.375,0.538,0.625,0.475,3.516,1,3,0,0.25,0,0.174,-0.098,72,180
J. Vossos,Justin Vossos,Vossos,DH,Texas A&M University,TXAM,R,6,0,0,0,0,-1.171,0,1,1,1,1,0.792,1.161,72,180
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0,,,,,,,,
